productId,productCode,productName,netPrice,availabilityUrl,availability,grossPrice,composition,needleStrength
pid-54352,bwdr1060m,Drops Daisy Mix,3.31,https://www.wollplatz.de/artikel/54352/drops-daisy-mix.html,Lieferbar,3.93,,
pid-54331,bwdr1060u,Drops Daisy Uni Colour,3.31,https://www.wollplatz.de/artikel/54331/drops-daisy-uni-colour.html,Lieferbar,3.93,,
pid-4544,bwdr1029,Drops Flora Uni Colour,2.18,https://www.wollplatz.de/wolle/drops/drops-flora-uni-colour,Lieferbar,2.6,"65% Wolle, 35% Alpaka",Fine
pid-4514,bwdr1026u,Drops Puna Uni Colour,2.52,https://www.wollplatz.de/wolle/drops/drops-puna-uni-colour,"Nicht mehr verfügbar, sehen Sie sich die Alternativen an",3.0,100% Alpaka,Light
pid-5312,bwdr1099m,Drops Air Mix,4.45,https://www.wollplatz.de/wolle/drops/drops-air-mix,Lieferbar,5.3,"65% Alpaka, 28% Polyamid, 7% Wolle",Medium
pid-5329,bwdr1099u,Drops Air Uni Colour,4.45,https://www.wollplatz.de/wolle/drops/drops-air-uni-colour,Lieferbar,5.3,"65% Alpaka, 28% Polyamid, 7% Wolle",Medium
pid-4370,bwdr1011,Drops Alaska Mix,1.81,https://www.wollplatz.de/wolle/drops/drops-alaska,Lieferbar,2.15,100% Wolle,Medium
pid-4381,bwdr1011u,Drops Alaska Uni Colour,1.81,https://www.wollplatz.de/wolle/drops/drops-alaska-uni-colour,Lieferbar,2.15,100% Wolle,Medium
pid-5015,bwdr1076m,Drops Alpaca Bouclé Mix,3.24,https://www.wollplatz.de/wolle/drops/drops-alpaca-boucle-mix,Lieferbar ab: 22-03-2024,3.85,"80% Alpaka, 15% Wolle, 5% Polyamid",Medium
pid-5021,bwdr1076u,Drops Alpaca Bouclé Uni Colour,3.24,https://www.wollplatz.de/wolle/drops/drops-alpaca-boucle-uni-colour,Lieferbar ab: 15-03-2024,3.85,"80% Alpaka, 15% Wolle, 5% Polyamid",Medium
pid-4770,bwdr1046mix,Drops Alpaca Mix,3.24,https://www.wollplatz.de/wolle/drops/drops-alpaca-mix,Lieferbar,3.85,100% Alpaka,Light
pid-4731,bwdr1046,Drops Alpaca Uni Colour,3.07,https://www.wollplatz.de/wolle/drops/drops-alpaca,Lieferbar ab: 08-03-2024,3.65,100% Alpaka,Light
pid-4446,bwdr1024mix,Drops Andes Mix,4.62,https://www.wollplatz.de/wolle/drops/drops-andes-mix,Lieferbar ab: 05-04-2024,5.5,"65% Wolle, 35% Alpaka",Super Bulky
pid-4457,bwdr1024uni,Drops Andes Uni Colour,4.33,https://www.wollplatz.de/wolle/drops/drops-andes-uni-colour,Lieferbar,5.15,"65% Wolle, 35% Alpaka",Super Bulky
pid-4869,bwdr1059m,Drops Baby Merino Mix,3.15,https://www.wollplatz.de/wolle/drops/drops-baby-merino-mix,Lieferbar,3.75,100% Merino Wolle,Light
pid-4879,bwdr1059u,Drops Baby Merino Uni Colour,3.15,https://www.wollplatz.de/wolle/drops/drops-baby-merino-uni-colour,Lieferbar,3.75,100% Merino Wolle,Light
pid-4483,bwdr1025,Drops Belle Uni Colour,1.85,https://www.wollplatz.de/wolle/drops/drops-belle-uni-colour,Lieferbar,2.2,,
pid-5265,bwdr1097,Drops Big Delight,5.46,https://www.wollplatz.de/wolle/drops/drops-big-delight,"Nicht mehr verfügbar, sehen Sie sich die Alternativen an",6.5,100% Wolle,Medium
pid-4423,bwdr1020m,Drops Big Merino Mix,3.15,https://www.wollplatz.de/wolle/drops/drops-big-merinomix,Lieferbar,3.75,100% Merino Wolle,Medium
pid-4434,bwdr1020u,Drops Big Merino Uni Colour,3.15,https://www.wollplatz.de/wolle/drops/drops-big-merino-uni-colour,Lieferbar,3.75,100% Merino Wolle,Medium
pid-4588,bwdr1037u,Drops Bomull-Lin Uni Colour,2.39,https://www.wollplatz.de/wolle/drops/drops-bomull-lin-uni-colour,Lieferbar,2.85,"53% Baumwolle, 47% Leinen",Medium
pid-5286,bwdr1098u,Drops Brushed Alpaca Silk Uni Colour,2.61,https://www.wollplatz.de/wolle/drops/drops-brushed-alpaca-silk-uni-colour,Lieferbar ab: 08-03-2024,3.1,"77% Alpaka, 23% Seide",Medium
pid-4914,bwdr1062,Drops Cotton Light Uni Colour,1.18,https://www.wollplatz.de/wolle/drops/drops-cotton-light-uni-colour,Lieferbar,1.4,"50% Baumwolle, 50% Polyester",Light
pid-4839,bwdr1051uni,Drops Cotton Merino Uni Colour,3.11,https://www.wollplatz.de/wolle/drops/drops-cotton-merino-uni-colour,Lieferbar,3.7,"50% Merino Wolle, 50% Baumwolle",Light
